movie_title,imdb_score,title_year,num_voted_users,num_critic_for_reviews,num_user_for_reviews,color,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,duration,gross,language,country,content_rating,budget,aspect_ratio
Maleficent ,7,2014.0,252257,401.0,634.0,Color,Robert Stromberg,171.0,Angelina Jolie Pitt,11000.0,Sharlto Copley,2000.0,Sam Riley,846.0,15516,89000,97.0,241407328.0,English,USA,PG,180000000.0,2.35
Dawn of the Planet of the Apes ,8,2014.0,317542,521.0,620.0,Color,Matt Reeves,198.0,Gary Oldman,10000.0,Judy Greer,2000.0,Kodi Smit-McPhee,884.0,14363,45000,130.0,208543795.0,English,USA,PG-13,170000000.0,1.85
The Lovers ,4,2015.0,2138,10.0,15.0,Color,Roland Joffé,596.0,Tamsin Egerton,622.0,Alice Englert,525.0,Bipasha Basu,283.0,1982,677,109.0,,English,Belgium,R,,
47 Ronin ,6,2013.0,116994,218.0,324.0,Color,Carl Rinsch,47.0,Keanu Reeves,18000.0,Cary-Hiroyuki Tagawa,1000.0,Jin Akanishi,982.0,20965,35000,128.0,38297305.0,English,USA,PG-13,175000000.0,2.35
Captain America: The Winter Soldier ,8,2014.0,496749,576.0,742.0,Color,Anthony Russo,94.0,Scarlett Johansson,19000.0,Chris Evans,11000.0,Hayley Atwell,2000.0,36188,55000,136.0,259746958.0,English,USA,PG-13,170000000.0,2.35
Shrek Forever After ,6,2010.0,138661,226.0,173.0,Color,Mike Mitchell,31.0,Jon Hamm,4000.0,Kathy Griffin,225.0,Mary Kay Place,213.0,4628,0,93.0,238371987.0,English,USA,PG,165000000.0,2.35
Tomorrowland ,6,2015.0,128306,443.0,497.0,Color,Brad Bird,663.0,Judy Greer,2000.0,Chris Bauer,638.0,Thomas Robinson,604.0,5046,37000,130.0,93417865.0,English,USA,PG,190000000.0,2.2
Big Hero 6 ,8,2014.0,279093,384.0,433.0,Color,Don Hall,38.0,Damon Wayans Jr.,756.0,Daniel Henney,719.0,Abraham Benrubi,562.0,2963,41000,102.0,222487711.0,English,USA,PG,165000000.0,2.39
Wreck-It Ralph ,8,2012.0,272534,377.0,345.0,Color,Rich Moore,66.0,Jack McBrayer,975.0,Sarah Silverman,931.0,Joe Lo Truglio,833.0,4451,40000,101.0,189412677.0,English,USA,PG,165000000.0,2.35
The Polar Express ,7,2004.0,120798,188.0,444.0,Color,Robert Zemeckis,0.0,Tom Hanks,15000.0,Eddie Deezen,726.0,Peter Scolari,267.0,16264,10000,100.0,665426.0,English,USA,G,165000000.0,2.35
Independence Day: Resurgence ,6,2016.0,58137,286.0,520.0,Color,Roland Emmerich,776.0,Vivica A. Fox,890.0,Sela Ward,812.0,Judd Hirsch,535.0,3233,67000,120.0,102315545.0,English,USA,PG-13,165000000.0,2.35
How to Train Your Dragon ,8,2010.0,485430,288.0,492.0,Color,Dean DeBlois,255.0,Gerard Butler,18000.0,America Ferrera,953.0,Craig Ferguson,759.0,20453,33000,98.0,217387997.0,English,USA,PG,165000000.0,2.35
Terminator 3: Rise of the Machines ,6,2003.0,305340,280.0,1676.0,Color,Jonathan Mostow,84.0,Nick Stahl,648.0,M.C. Gainey,284.0,Carolyn Hennesy,191.0,1769,0,109.0,150350192.0,English,USA,R,200000000.0,2.35
Guardians of the Galaxy ,8,2014.0,682155,653.0,1097.0,Color,James Gunn,571.0,Bradley Cooper,14000.0,Vin Diesel,14000.0,Djimon Hounsou,3000.0,32438,96000,121.0,333130696.0,English,USA,PG-13,170000000.0,2.35
Interstellar ,9,2014.0,928227,712.0,2725.0,Color,Christopher Nolan,22000.0,Matthew McConaughey,11000.0,Anne Hathaway,11000.0,Mackenzie Foy,6000.0,31488,349000,169.0,187991439.0,English,USA,PG-13,165000000.0,2.35
Inception ,9,2010.0,1468200,642.0,2803.0,Color,Christopher Nolan,22000.0,Leonardo DiCaprio,29000.0,Tom Hardy,27000.0,Joseph Gordon-Levitt,23000.0,81115,175000,148.0,292568851.0,English,USA,PG-13,160000000.0,2.35
Godzilla Resurgence ,8,2016.0,374,1.0,13.0,Color,Hideaki Anno,28.0,Mark Chinnery,544.0,Shin'ya Tsukamoto,106.0,Atsuko Maeda,12.0,699,0,120.0,,Japanese,Japan,,,2.35
The Hobbit: An Unexpected Journey ,8,2012.0,637246,645.0,1367.0,Color,Peter Jackson,0.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0,9152,166000,182.0,303001229.0,English,USA,PG-13,180000000.0,2.35
The Fast and the Furious ,7,2001.0,272223,187.0,988.0,Color,Rob Cohen,357.0,Paul Walker,23000.0,Vin Diesel,14000.0,Jordana Brewster,4000.0,45327,14000,106.0,144512310.0,English,USA,PG-13,38000000.0,2.35
The Curious Case of Benjamin Button ,8,2008.0,459346,362.0,822.0,Color,David Fincher,21000.0,Brad Pitt,11000.0,Jason Flemyng,1000.0,Julia Ormond,919.0,13333,23000,166.0,127490802.0,English,USA,PG-13,150000000.0,2.35
X-Men: First Class ,8,2011.0,518537,500.0,698.0,Color,Matthew Vaughn,905.0,Jennifer Lawrence,34000.0,Michael Fassbender,13000.0,Oliver Platt,1000.0,50983,54000,132.0,146405371.0,English,USA,PG-13,160000000.0,2.35
The Hunger Games: Mockingjay - Part 2 ,7,2015.0,166137,389.0,383.0,Color,Francis Lawrence,508.0,Jennifer Lawrence,34000.0,Philip Seymour Hoffman,22000.0,Josh Hutcherson,14000.0,81385,38000,137.0,281666058.0,English,USA,PG-13,160000000.0,2.35
The Sorcerer's Apprentice ,6,2010.0,124185,235.0,238.0,Color,Jon Turteltaub,226.0,Nicolas Cage,12000.0,Omar Benson Miller,418.0,Robert Capron,370.0,13388,11000,109.0,63143812.0,English,USA,PG,150000000.0,2.35
Poseidon ,6,2006.0,82380,231.0,629.0,Color,Wolfgang Petersen,249.0,Jimmy Bennett,87000.0,Mike Vogel,2000.0,Andre Braugher,702.0,92456,0,98.0,60655503.0,English,USA,PG-13,160000000.0,2.35
Alice Through the Looking Glass ,6,2016.0,21352,218.0,131.0,Color,James Bobin,33.0,Johnny Depp,40000.0,Alan Rickman,25000.0,Anne Hathaway,11000.0,80806,30000,113.0,76846624.0,English,USA,PG,170000000.0,1.85
Shrek the Third ,6,2007.0,211971,227.0,326.0,Color,Chris Miller,50.0,Justin Timberlake,3000.0,Eric Idle,795.0,Rupert Everett,692.0,4705,0,93.0,320706665.0,English,USA,PG,160000000.0,1.85
Warcraft ,7,2016.0,111609,275.0,781.0,Color,Duncan Jones,0.0,Dominic Cooper,3000.0,Callum Rennie,716.0,Ruth Negga,648.0,5505,89000,123.0,46978995.0,English,USA,PG-13,160000000.0,2.35
Terminator Genisys ,7,2015.0,188457,474.0,867.0,Color,Alan Taylor,230.0,J.K. Simmons,24000.0,Emilia Clarke,10000.0,Matt Smith,2000.0,38873,82000,126.0,89732035.0,English,USA,PG-13,155000000.0,2.35
The Chronicles of Narnia: The Voyage of the Dawn Treader ,6,2010.0,106446,228.0,227.0,Color,Michael Apted,150.0,Bruce Spence,531.0,Shane Rangi,82.0,Laura Brent,59.0,764,11000,113.0,104383624.0,English,USA,PG,155000000.0,1.78
Pearl Harbor ,6,2001.0,254111,191.0,1999.0, Black and White,Michael Bay,0.0,Jennifer Garner,3000.0,Jaime King,961.0,Mako,691.0,5401,0,184.0,198539855.0,English,USA,PG-13,140000000.0,2.35
Transformers ,7,2007.0,513158,396.0,1782.0,Color,Michael Bay,0.0,Zack Ward,662.0,Michael O'Neill,599.0,Kevin Dunn,581.0,2333,8000,144.0,318759914.0,English,USA,PG-13,150000000.0,2.35
Alexander ,6,2004.0,138863,248.0,1390.0,Color,Oliver Stone,0.0,Anthony Hopkins,12000.0,Angelina Jolie Pitt,11000.0,Brian Blessed,591.0,24598,0,206.0,34293771.0,English,Germany,R,155000000.0,2.35
